銘柄コード,上場区分,銘柄,株価,社名,英文社名,業種,代表者,決算,資本金,住所,電話番号(IR),上場市場,上場年月日,単元株数
1717,東証スタンダード,明豊ファシリティワークス,903.0,明豊ファシリティワークス,Meiho Facility Works Ltd.,サービス業,大貫　美,3月,"543,404千円",東京都千代田区平河町二丁目７番９号,03-5211-0066,東証スタンダード,2004年2月19日,100株
1718,東証スタンダード,美樹工業,4705.0,美樹工業,"MIKIKOGYO CO.,LTD.",建設業,岡田　尚一郎,12月,"764,815千円",兵庫県姫路市北条９５１番地１,079-281-5151,東証スタンダード,2003年10月29日,100株
1719,東証プライム,安藤・間,1152.0,安藤・間,HAZAMA ANDO CORPORATION,建設業,国谷　一彦,3月,"17,006,000千円",東京都港区東新橋１丁目９番１号,03-3575-6094,東証プライム,2003年10月1日,100株
1720,東証プライム,東急建設,739.0,東急建設,"TOKYU CONSTRUCTION CO.,LTD.",建設業,寺田　光宏,3月,"16,354,000千円",東京都渋谷区渋谷一丁目１６番１４号,03-5466-5061,東証プライム,2003年10月1日,100株
1721,東証プライム,コムシスホールディングス,3153.0,コムシスホールディングス,COMSYS Holdings Corporation,建設業,田辺　博,3月,"10,000,000千円",東京都品川区東五反田二丁目１７番１号,03-3448-7000,東証プライム,2003年9月29日,100株
1722,東証1部,ミサワホーム,---,ミサワホーム,"MISAWA HOMES CO.,LTD.",建設業,磯貝　匡志,3月,"11,892,000千円",東京都新宿区西新宿二丁目４番１号,03-3345-1111,東証1部,2003年8月1日,100株
1723,東証スタンダード,日本電技,3620.0,日本電技,"NIHON DENGI CO., LTD.",建設業,島田　良介,3月,"470,000千円",東京都墨田区両国二丁目１０番１４号,03-5624-1100,東証スタンダード,2003年3月13日,100株
1724,東証スタンダード,シンクレイヤ,613.0,シンクレイヤ,SYNCLAYER INC.,建設業,山口　正裕,12月,"835,000千円",愛知県名古屋市中区千代田二丁目２１番１８号,052-242-7875,東証スタンダード,2003年2月19日,100株
1725,東証2部,フジタ,---,フジタ,FUJITA CORPORATION,建設業,---,---,---,---,---,東証2部,---,100株
1726,東証プライム,ビーアールホールディングス,338.0,ビーアールホールディングス,Br.Holdings Corporation,建設業,藤田　公康,3月,"4,813,000千円",広島県広島市東区光町二丁目６番３１号,082-261-2860,東証プライム,2002年9月26日,100株
1728,東証JASDAQ（スタンダード）,ミサワホーム中国,---,ミサワホーム中国,"MISAWA HOMES CHUGOKU CO.,LTD.",建設業,南雲　秀夫,3月,"1,369,850千円",岡山県岡山市北区野田二丁目１３番１７号,086-245-3204,東証JASDAQ（スタンダード）,2002年3月15日,100株
1729,へ証,三光ソフランホールディングス,---,三光ソフランホールディングス,"SANKO SOFLAN HOLDINGS CO.,LTD",建設業,---,---,---,---,---,へ証,---,1000株
1730,東証スタンダード,麻生フオームクリート,678.0,麻生フオームクリート,"ASO FOAM CRETE Co.,Ltd.",建設業,花岡　浩一,3月,"209,200千円",神奈川県川崎市中原区苅宿３６番１号,044-422-2061,東証スタンダード,2001年4月10日,100株
1734,札証,北弘電社,---,北弘電社,KITA KOUDENSHA Corporation,建設業,高橋　龍夫,3月,"840,687千円",北海道札幌市中央区北１１条西２３丁目２番１０号,011-640-2232,札証,2000年8月10日,100株
1735,ジ証,伊田テクノス,---,伊田テクノス,IDA TECHNOS CORPORATION,建設業,---,---,---,---,---,ジ証,---,1000株
1736,東証スタンダード,オーテック,3740.0,オーテック,OTEC CORPORATION,建設業,市原　伸一,3月,"599,400千円",東京都江東区東陽２－４－２,03-3699-0411,東証スタンダード,2000年4月25日,100株
1737,東証2部,三井金属エンジニアリング,---,三井金属エンジニアリング,"MESCO,Inc.",建設業,青木　一彦,3月,"1,085,350千円",東京都墨田区錦糸三丁目２番１号,03-5610-7833,東証2部,2000年3月14日,100株
1738,名証メイン,ＮＩＴＴＯＨ,515.0,ニットー,NITTOH CORPORATION,建設業,中野　英樹,3月,"186,072千円",愛知県名古屋市中川区広川町三丁目１番地８,052-304-8210,名証メイン,2000年2月24日,100株
1739,東証グロース,メルディアＤＣ,---,メルディアＤＣ,"MELDIA Development & Construction CO., LTD.",建設業,田中　一也,6月,"100,000千円",京都府京都市山科区椥辻中在家町８番地１,06-4866-5388,東証グロース,1999年12月17日,100株
1741,ジ証,ミサワホームサンイン,---,ミサワホームサンイン,"MISAWA HOMES SAN-IN CO.,LTD.",建設業,---,---,---,---,---,ジ証,1999年10月29日,100株
1742,東証2部,セコムテクノサービス,---,セコムテクノサービス,"SECOM TECHNO SERVICE CO.,LTD.",建設業,坂本　正治,---,---,東京都中野区弥生町五丁目６番１１号,03-5340-5201,東証2部,1999年10月15日,500株
1743,東証スタンダード,コーアツ工業,1218.0,コーアツ工業,"KOATSU KOGYO CO., LTD.",建設業,出口　稔,9月,"1,319,000千円",鹿児島県鹿児島市伊敷五丁目１７番５号,099-229-8181,東証スタンダード,1999年7月8日,100株
1744,ジ証,キョーエイ産業,---,キョーエイ産業,"KYOEI SANGYO CO.,LTD.",建設業,---,---,---,---,---,ジ証,---,1000株
1748,ジ証,ミサワホーム北日本,---,ミサワホーム北日本,"MISAWA HOMES KITANIHON CO.,LTD.",建設業,---,---,---,---,---,ジ証,---,1000株
1750,大証,カナック,---,カナック,KANAC CORPORATION.,建設業,---,---,---,---,---,大証,---,1000株
1751,ジ証,日立プラント建設サービス,---,日立プラント建設サービス,"HITACHI PLANT CONSTRUCTION & SERVICES CO.,LTD.",建設業,---,---,---,---,---,ジ証,---,100株
1753,ジ証,土屋ツーバイホーム,---,土屋ツーバイホーム,"TSUCHIYA TWOBY HOME CO.,LTD.",建設業,---,---,---,---,---,ジ証,---,1株
1754,ジ証,東新住建,---,東新住建,"TOSHIN HOUSING CO.,LTD.",建設業,---,---,---,---,---,ジ証,---,100株
1756,ジ証,和興エンジニアリング,---,和興エンジニアリング,WAKO ENGINEERING CORP.,建設業,矢澤　久司,---,---,東京都大田区平和島四丁目１番２３号,03-6404-2602,ジ証,1998年2月3日,1000株
1757,東証スタンダード,創建エース,19.0,創建エース,"Souken Ace Co., Ltd.",建設業,西山　由之,3月,"10,966,980千円",東京都新宿区西新宿一丁目２５番１号,03-3344-0011,東証スタンダード,1997年11月28日,100株
1758,東証スタンダード,太洋基礎工業,1782.0,太洋基礎工業,"Taiyo Kisokogyo Co.,Ltd.",建設業,加藤　行正,1月,"456,300千円",愛知県名古屋市中川区柳森町１０７番地,052-362-6351,東証スタンダード,1997年11月20日,100株
1761,札証,ミサワホーム北海道,---,ミサワホーム北海道,"MISAWA HOMES HOKKAIDO CO.,LTD.",建設業,---,---,---,---,---,札証,---,1000株
1762,東証プライム,高松コンストラクショングループ,2683.0,高松コンストラクショングループ,"TAKAMATSU CONSTRUCTION GROUP CO., LTD.",建設業,高松　浩孝,3月,"5,000,000千円",大阪府大阪市淀川区新北野一丁目２番３号,03-3455-8108,東証プライム,1997年10月22日,100株
1763,ジ証,北陸ミサワホーム,---,北陸ミサワホーム,"HOKURIKU MISAWA HOMES CO.,LTD.",建設業,---,---,---,---,---,ジ証,---,500株
1764,東証スタンダード,工藤建設,2600.0,工藤建設,KUDO CORPORATION,建設業,藤井　研児,6月,"867,500千円",神奈川県横浜市青葉区新石川四丁目３３番地１０,045-911-5300,東証スタンダード,1997年4月11日,100株
1766,東証プライム,東建コーポレーション,12390.0,東建コーポレーション,TOKEN CORPORATION,建設業,左右田　善猛,4月,"4,800,000千円",愛知県名古屋市中区丸の内二丁目１番３３号,052-232-8000,東証プライム,1997年3月19日,100株
1767,東証2部,沖ウィンテック,---,沖ウィンテック,"OKI WINTECH COMPANY,LIMITED",建設業,---,---,---,---,---,東証2部,---,1000株
1768,東証スタンダード,ソネック,834.0,ソネック,SONEC CORPORATION,建設業,山本　貴弘,3月,"723,000千円",兵庫県高砂市曽根町２２５７番地の１,079-447-1551,東証スタンダード,1996年11月19日,100株
1770,東証スタンダード,藤田エンジニアリング,1503.0,藤田エンジニアリング,"FUJITA ENGINEERING CO.,LTD.",建設業,藤田　実,3月,"1,029,213千円",群馬県高崎市飯塚町１１７４番地５,027-361-1111,東証スタンダード,1996年8月5日,100株
1771,福証,日本乾溜工業,956.0,日本乾溜工業,"NIPPON KANRYU INDUSTRY CO.,LTD.",建設業,兼田　智仁,9月,"413,675千円",福岡県福岡市東区馬出１丁目１１番１１号,092-632-1050,福証,1996年4月26日,100株
1773,東証プライム,ＹＴＬ,70.0,ワイ・ティー・エル・コーポレーション・バーハッド,YTL Corporation Berhad,建設業,---,---,---,---,---,東証プライム,1996年2月29日,1000株
1774,大証,機動建設工業,---,機動建設工業,"KIDOH CONSTRUCTION CO.,LTD.",建設業,---,---,---,---,---,大証,---,1000株
1775,東証スタンダード,富士古河Ｅ＆Ｃ,---,富士古河Ｅ＆Ｃ,FUJI FURUKAWA ENGINEERING & CONSTRUCTION CO.LTD.,建設業,日下　高,3月,"1,970,000千円",神奈川県川崎市幸区堀川町５８０番地,044-548-4500,東証スタンダード,1996年2月23日,100株
1776,東証スタンダード,三井住建道路,1179.0,三井住建道路,"SUMIKEN MITSUI ROAD CO.,LTD.",建設業,蓮井　肇,3月,"1,329,000千円",東京都新宿区西新宿６丁目２４番１号,03-6258-1523,東証スタンダード,1996年2月15日,100株
1777,名証メイン,川崎設備工業,932.0,川崎設備工業,"KAWASAKI SETSUBI KOGYO CO., LTD.",建設業,廣江　勝志,3月,"1,581,000千円",愛知県名古屋市中区大須一丁目６番４７号,052-221-7700,名証メイン,1996年1月25日,100株
1778,東証2部,古河総合設備,---,古河総合設備,FURUKAWA ENGINEERING & CONSTRUCTION INC.,建設業,---,---,---,---,---,東証2部,---,1000株
1779,ジ証,松本建工,---,松本建工,"MATSUMOTO KENKO CO.,LTD.",建設業,---,---,---,---,---,ジ証,---,1000株
1780,東証プライム,ヤマウラ,1224.0,ヤマウラ,YAMAURA CORPORATION,建設業,山浦　正貴,3月,"2,888,492千円",長野県駒ヶ根市北町２２番１号,0265-81-6070,東証プライム,1995年9月13日,100株
1781,ジ証,国土総合建設,---,国土総合建設,"JAPAN INDUSTRIAL LAND DEVELOPMENT CO.,LTD.",建設業,---,---,---,---,---,ジ証,---,1000株
1782,東証JASDAQ（スタンダード）,常磐開発,---,常磐開発,"Joban Kaihatsu Co.,Ltd.",建設業,高木　純一,3月,"583,300千円",福島県いわき市常磐湯本町辰ノ口１番地,0246-72-1111,東証JASDAQ（スタンダード）,1995年8月2日,100株
1783,東証スタンダード,ｆａｎｔａｓｉｓｔａ,37.0,ｆａｎｔａｓｉｓｔａ,"Fantasista Co., Ltd.",不動産業,田野　大地,9月,"6,633,604千円",東京都港区赤坂五丁目３番１号,03-5572-7848,東証スタンダード,1995年6月22日,100株
1786,東証プライム,オリエンタル白石,387.0,オリエンタル白石,Oriental Shiraishi Corporation,建設業,大野　達也,3月,"5,000,000千円",東京都江東区豊洲五丁目６番５２号　ＮＢＦ豊洲キャナルフロント　５Ｆ,03-6220-0630,東証プライム,2021年4月1日,100株
1787,東証スタンダード,ナカボーテック,4855.0,ナカボーテック,"Nakabohtec Corrosion Protecting Co.,Ltd.",建設業,木村　浩,3月,"866,350千円",東京都中央区新川二丁目５番２号,03-5541-5805,東証スタンダード,1995年4月7日,100株
1788,東証スタンダード,三東工業社,3870.0,三東工業社,"SANTO CO.,LTD.",建設業,奥田　克実,6月,"849,500千円",滋賀県甲賀市信楽町大字江田６１０番地,077-553-1111,東証スタンダード,1995年3月29日,100株
1789,東証スタンダード,ＥＴＳホールディングス,---,ＥＴＳホールディングス,"ETS Holdings Co.,Ltd.",建設業,加藤　慎章,9月,"989,669千円",東京都豊島区南池袋一丁目１０番１３号,03-5957-7661,東証スタンダード,1995年2月17日,100株
1790,大証,平和奥田,---,平和奥田,"HEIWA OKUDA CO.,LTD.",建設業,---,---,---,---,---,大証,---,1000株
1792,東証1部,みらい建設グループ,---,みらい建設グループ,"MIRAI GROUP CO., LTD.",建設業,---,---,---,---,---,東証1部,---,1000株
1793,東証スタンダード,大本組,2408.0,大本組,"OHMOTO GUMI CO.,LTD",建設業,三宅　啓一,3月,"5,296,000千円",岡山県岡山市北区内山下１丁目１番１３号,086-225-5131,東証スタンダード,1994年12月16日,100株
1795,東証スタンダード,マサル,3895.0,マサル,MASARU CORPORATION,建設業,勝又　健,9月,"885,697千円",東京都江東区佐賀一丁目９番１４号,03-3643-5859,東証スタンダード,1994年11月2日,100株
1798,東証スタンダード,守谷商会,3775.0,守谷商会,MORIYA CORPORATION,建設業,伊藤　由郁紀,3月,"1,712,500千円",長野県長野市南千歳町８７８番地,026-226-0111,東証スタンダード,1994年10月3日,100株
1799,東証スタンダード,第一建設工業,2385.0,第一建設工業,DAIICHI KENSETSU CORPORATION,建設業,内田　海基夫,3月,"3,302,375千円",新潟県新潟市中央区八千代一丁目４番３４号,025-241-8111,東証スタンダード,1994年8月26日,100株
