特色,連結事業,従業員数（単独）,従業員数（連結）,平均年齢,平均年収
地盤調査改良が柱。官公庁向けＩＴコンサルやシステム開発、材事業も。利益は期末集中,コンサル7(14)、システム開発11(6)、材20(2)、地盤調査改良55(3)、保証検査1(0)、建設テック2(6)、海外3(-3)、他2(-6)(2024.3),27,2279,52.0,7510000
プレハブ建築、立体駐車場の総合会社。建設、開発と多角化。ＴＯＢ成立し３月２９日上場廃止,システム建築56(9)、総合建設23(-4)、立体駐車場17(2)、開発3(11)、ファシリティマネジメント1(-12)(2021.3),33,1372,46.6,7580000
建築構造物の解体工事の施工管理に特化。付帯工事をワンストップで受注施工。元請け比率高い,【単独事業】解体100(2024.3),105,---,43.7,6600000
注文建築・分譲など事業子会社を有する持株会社。兵庫地盤。ファースト住建がＴＯＢ実施,住宅請負53、分譲用土地32、分譲用建物13、他2(2024.3),16,120,44.6,5320000
金など貴金属をリサイクル販売。不動産、中古機械、アニメグッズ販売も。先物投資は当面休止,貴金属96(1)、機械1(-7)、コンテンツ3(9)、他1(-6)(2024.3),137,149,38.0,6080000
住友石炭が母体。国内炭撤退、豪州炭鉱の配当金が利益柱。医療・建設コンサルの麻生が親会社,石炭97(40)、新素材1(16)、採石2(18)【海外】36(2024.3),14,46,50.4,8120000
日本製鉄系。石灰石、銅精鉱、電気銅主力。機械、環境、不動産も。チリ銅鉱山など海外採鉱拡大,鉱石36(10)、金属53(3)、機械・環境8(11)、不動産2(58)、再生可能エネルギー1(31)【海外】25(2024.3),734,2206,42.2,7420000
２３年度石炭事業撤退で事業投資会社に転換。飲料ストロー等ニッチ企業をＭ＆Ａで取り込み,生活関連53(12)、エネルギー45(64)、他2(13)【海外】15(2024.3),40,1767,44.7,10570000
原油・ガス開発生産国内最大手。政府が黄金株保有。豪州でＬＮＧ案件（イクシス）を操業,原油75、天然ガス24、他1【海外】64(2023.12),1384,3531,39.7,11170000
海洋掘削会社。原油・ガス田の掘削を請け負う。東南ア等で操業。１５年の原油安影響で打撃,海洋掘削50(-114)、運用・管理受託31(3)、掘削技術18(7)、他1(-52)【海外】31(2018.3),181,322,39.6,6080000
千葉で天然ガス、ヨード生産。大多喜ガスと統合へ。１２月２６日上場廃止、共同持株会社１月上場,ガス91(6)、ヨード・かん水5(36)、他4(4)(2012.12),163,560,44.8,7730000
原油・ガス開発専業。国内の天然ガス田操業が基盤。カナダ・重質油事業は売却。再エネにも注力,Ｅ＆Ｐ27、インフラ・ユーティリティ53、他20【海外】21(2024.3),979,1641,40.4,9580000
持株会社。天然ガス開発から都市ガス供給まで一貫。輸出柱のヨウ素の生産・販売で世界有数,ガス79(7)、ヨウ素13(56)、他8(13)(2023.12),57,661,42.4,7050000
省エネ施設の設計・施工で再建図る。太陽光発電事業は大型から自家消費型の施工販売へ転換,省エネルギー関連22(-13)、リノベーション78(4)(2024.3),4,18,50.3,6470000
汚染土壌の調査から浄化処理までの一貫体制に特徴。名古屋地盤だが関東、関西でも展開拡大,土壌汚染調査・処理80(14)、資源リサイクル20(20)(2024.2),202,315,41.2,6670000
ダイヤモンド使用のコンクリート構造物切断・穿孔工事が主力。水圧のウォータージェットも,切断・穿孔工事96(18)、ビルメンテナンス2(5)、リユース・リサイクル2(-7)(2024.6),526,---,38.6,6700000
事務所や工場、学校などの建設・移転を支援するＣＭ（コンストラクションマネジメント）主力,【単独事業】オフィス19(11)、ＣＭ58(24)、ＣＲＥＭ16(18)、ＤＸ支援7(25)(2024.3),197,---,46.9,10140000
大阪ガス軸のガス工事、子会社のセキスイハイム販売など住宅、建設が柱。不動産賃貸を育成,建設41(6)、設備19(-2)、住宅32(0)、不動産賃貸5(28)、他3(31)(2023.12),278,566,41.8,5680000
ダム、トンネルなど大型土木に定評ある準大手ゼネコン。建築主力の安藤建設を１３年に吸収合併,土木34(11)、建築57(4)、グループ8(2)、他1(3)【海外】8(2024.3),3351,3763,46.3,9630000
東急系の中堅ゼネコン。グループからの受注約１〜２割。渋谷駅前や東急沿線の開発案件に強み,建築76(5)、土木23(5)、不動産等1(69)(2024.3),2522,2915,43.9,8380000
キャリア向けの電気通信工事大手。ネットワーク構築に強み。インフラ工事やＩＴ構築を強化中,日本コムシス46(6)、サンワコムシス11(6)、ＴＯＳＹＳ6(6)、つうけん12(9)、ＮＤＳ15(6)、ＳＹＳＫＥＮ他10(21)(2024.3),104,17405,52.2,9180000
注文住宅大手。トヨタ自動車とパナソニックが新設する持株会社の傘下に。１２月３０日上場廃止へ,戸建住宅56、リフォーム15、資産活用12、まちづくり13、他4(2019.3),2592,8936,44.1,7090000
ビル空調計装工事の大手。工場搬送ライン用などの自動制御システムも展開。アズビルと提携,空調計装関連90(28)、産業システム関連10(6)(2024.3),905,941,42.3,9710000
ＣＡＴＶ事業者向けシステム構築。インターネットサービスへ展開。無線通信事業に参入,トータル・インテグレーション46、機器インテグレーション54(2023.12),170,270,44.4,5580000
極東興和が中核。中国、関西地盤のＰＣ橋梁大手。Ｍ＆Ａで関東、東北へエリア拡大し全国化,建設85(10)、製品販売14(3)、情報システム1(7)、不動産賃貸0(66)(2024.3),12,645,53.3,7580000
ミサワホームの中国地方全域を担当。店舗など非住宅分野へも展開。エコリフォームに積極的,住宅請負56(3)、分譲23(7)、リフォーム15(7)、他6(4)(2021.3),452,491,42.4,5280000
麻生グループ。地盤改良、軽量盛土など気泡コンクリート工事の最大手。中国で合弁会社も展開,【単独事業】気泡コンクリート工事79、地盤改良工事21、他工事0、商品販売0(2024.3),98,---,47.3,5610000
工場・ビル空調自動制御設備の建設、施工、メンテなどが柱。建築設備資材や機器販売も展開,環境システム57(19)、管工機材44(-4)(2024.3),400,526,41.7,7870000
プラント中堅。非鉄製錬に強み。パイプ製販事業を併営。親会社によるＴＯＢ成立、上場廃止へ,エンジニアリング76(6)、パイプ・素材24(11)【海外】21(2021.3),374,384,44.0,6710000
京阪地域地盤。建築請負が主力。オープンハウス傘下プレサンスＣのＴＯＢ成立で上場廃止へ,建設請負42(5)、不動産販売27(12)、戸建分譲31(4)(2023.6),201,235,36.3,5750000
橋梁工事中心の中堅。官公需８割。九州地盤。プレストレストコンクリ技術に定評。売電事業も,建設91(7)、コンクリート製品8(3)、不動産1(74)、売電1(48)(2024.9),256,284,43.3,4960000
社名変更頻繁。建設主体。コスメ衛生品、自動車オイル等で再建狙ったが不発、経営陣入れ替わる,建設82(-81)、コスメ衛生関連6(-71)、他12(34)(2024.3),19,39,45.0,7190000
地中連続壁など特殊土木工事（官公需）と積水ハウスの住宅地盤改良工事が２本柱。建築事業も,【単独事業】特殊土木工事48(3)、住宅関連工事30(4)、環境関連工事7(9)、建築16(-11)、機械製造販売0(4)、再生可能エネルギー0(62)(2024.1),217,---,45.3,5920000
準大手ゼネコン。賃貸マンション建築の高松建設と土木の青木あすなろ建設が中核。買収積極的,建築48(4)、土木32(7)、不動産20(7)(2024.3),1743,4892,37.5,6750000
神奈川地盤の中堅建設。大規模修繕工事に強み。不動産も。介護（老ホーム）のＭ＆Ａに注力,【単独事業】建設52(5)、不動産販売1(9)、建物管理18(7)、介護29(5)(2024.6),698,725,43.6,4730000
地主に賃貸住宅経営提案し施工から管理、仲介まで一貫化。住宅設備子会社を傘下に持つ,建設39(4)、不動産賃貸61(7)、他1(3)(2024.4),4909,5442,41.0,6230000
兵庫県（東播磨）地盤とする民間建築中心の中堅ゼネコン。子会社で化学製品運輸事業。無借金,建設98(1)、運輸2(11)(2024.3),119,134,41.5,6250000
群馬県が地盤の設備工事中堅。空調・産業設備の保守に強み。情報システムや電子部品製造も,建設58(6)、機器販売及び情報システム17(4)、機器のメンテナンス20(9)、電子部品製造6(4)(2024.3),249,594,42.2,5770000
---,---,---,---,---,---
プラント、電気、空調工事・メンテまで一貫対応。富士電機の完全子会社化で２５年１月上場廃止,電気設備工事67(6)、空調設備工事32(9)、他2(28)【海外】8(2024.3),1170,1544,44.4,7980000
道路舗装中堅。三井住友Ｇ関連の工事が強み。官庁以外の工事拡大に注力。有利子負債ゼロ,建設82(11)、製造・販売18(5)、他0(49)(2024.3),433,439,46.2,6810000
長野県内の建築、土木が中心。民間の比率高い。産業設備等のエンジ、首都圏マンション開発も,建設79(12)、エンジニアリング9(16)、開発等12(10)(2024.3),416,416,44.0,7740000
常磐興産グループの総合建設業。民間建築主力、環境事業育成。２１年にＭＢＯ成立で上場廃止へ,建築64(11)、土木緑地25(14)、環境5(26)、不動産1(12)、他5(8)(2020.3),194,401,45.6,5520000
２０年に建設、ゴルフ事業から撤退。不動産販売を主軸にコンサルも。２２年ヘルスケア事業に進出,リアルエステート95(18)、ヘルスケア4(10)、不動産コンサルティング0(-65)(2024.9),11,29,46.0,---
コンクリ橋、鋼橋を手がける橋梁の総合建設。ケーソン工事でシェア７割。伊藤忠が筆頭株主,建設82(11)、鋼構造物13(7)、港湾5(0)、他0(18)(2024.3),780,1019,46.7,9370000
鉄鋼構造物などの腐食抑える防食専業のエンジニアリング。業界首位。ＲＣなど新規事業育成,【単独事業】港湾59(23)、地中20(26)、陸上7(46)、他13(16)(2024.3),277,---,41.9,8620000
売上高の８割強が滋賀県内の建設会社。官公需軸の土木から民間に軸足。県内資源活用に意欲,土木59(6)、建築41(-3)、環境開発0(37)(2024.6),102,117,46.3,7440000
送電線、内線工事が主体。通信向けも育成。電力は東北電からの受注が主力。１０月持株会社化,電気工事86(3)、建物管理・清掃14(7)、他0(-91)(2023.9),148,239,37.5,5240000
土木主体中堅から建築主体にシフト。岡山を地盤に全国展開。無化施工技術など独自技術強み,【単独事業】建築56(10)、土木44(9)(2024.3),804,---,45.2,9060000
ビル、マンション等のシーリング（外壁防水）工事でトップ。リニューアル（補修・改修）を強化,建設工事90(5)、設備工事10(4)(2024.9),131,165,45.1,6510000
長野地盤の中堅建設。首都圏、中部圏でも営業。地中熱利用など再生可能エネルギー事業に注力,建築73(7)、土木20(9)、不動産7(31)(2024.3),315,392,41.1,6440000
ＪＲ東日本系。線路工事など同社依存度約７割。非鉄道も強化。関東、信越、東北地盤。好財務,【単独事業】建設98(7)、不動産2(29)(2024.3),1025,---,39.6,7350000
最大手ゼネコンの一角。非同族系。首都圏再開発から大型土木まで全方位展開。不動産開発も,土木29(11)、建築63(-5)、開発7(17)、他1(11)(2024.3),9117,16824,42.9,10240000
最大手ゼネコンの一角。関西発祥、首都圏でも大型建築・土木に実績。不動産開発や海外展開も,建設95(3)、不動産3(25)、他2(2)【海外】25(2024.3),9502,17570,42.6,10660000
最大手ゼネコンの一角。首都圏、民間建築が主力。環境エネルギーに注力。配当性向４０％メド,当社建設71(1)、当社投資開発4(33)、道路舗装7(5)、他18(6)(2024.3),10853,20877,43.6,9820000
土木主体の老舗。トンネルで実績多く、防災関連にも強み、「トグル制震構法」で耐震補強に定評,土木52(8)、建築40(5)、開発等8(6)(2024.3),1156,1464,44.8,8410000
道路舗装工事の中堅。旧渡辺組と旧佐藤道路が合併して誕生。佐藤工業、東亜道路工業と提携,舗装工事72、土木工事等16、製品等販売12(2024.3),497,552,44.8,6680000
マンション建築首位。土地手当て、計画立案から施工まで一貫モデル構築。販売や管理、仲介も,建設関連65(7)、不動産関連12(15)、サービス関連23(7)、海外関連0(-487)(2024.3),2576,8367,40.8,9630000
１５８６年創業、社寺建築で優れた技術。学校や病院、住宅など民間建築が中心。太陽光発電も,建設98(1)、不動産等2(27)(2024.3),753,780,44.5,7970000
１７０５年創業、関西本拠の老舗中堅ゼネコン。官民比率は３対７、マンション比率約１割,建設98(2)、不動産2(59)(2024.3),907,912,39.7,8250000
最大手ゼネコンの一角。同族色。超高層、耐震、原発技術に強み。国内外の不動産開発に実績,土木14(6)、建築41(5)、開発3(22)、国内関係会社10(7)、海外関係会社32(2)【海外】32(2024.3),9031,21018,43.7,11770000
土木は陸上と海洋の両面で展開。地盤改良と２本柱。米国に地盤改良子会社。独自工法に強み,土木40(-6)、地盤改良54(10)、ブロック5(2)、他1(4)(2024.3),854,999,45.8,7290000
マンション等民間建築が主体。関西主力だが首都圏の比重高まる。ミサワホームと資本業務提携,建設99、不動産等1(2024.3),615,688,41.4,7500000
鉄道工事に強いが、道路・トンネル、集合住宅工事等も展開。ＪＲ東が追加出資し持分法会社化,土木工事50(4)、建築工事48(-4)、不動産2(7)、付帯0(2)、他0(94)【海外】5(2024.3),1771,1913,41.6,8570000
中堅名門。民間建築が主。医療施設など強い。１３年４月、ハザマに吸収合併。同３月２７日上場廃止,建設94(2)、不動産6(16)(2012.3),1362,1557,41.2,5750000
作業請負と設備設計・施工が主力。新日鉄住金が株式交換で完全子会社化。７月に上場廃止,エンジニアリング87(5)、操業9(4)、他4(0)(2015.3),9842,11095,42.7,5730000
準大手ゼネコン。ダムやトンネルなど、土木に実績。不動産開発事業に注力。伊藤忠が大株主,土木27(10)、建築59(0)、国際8(-2)、アセットバリューアッド7(31)、地域環境ソリューション0(-393)【海外】8(2024.3),3007,3443,44.7,8340000
ＰＣ橋と超高層マンションに強い準大手ゼネコン。海外強化中。横浜杭打ち工事問題が長期化,土木工事45(15)、建築工事55(1)、他0(33)【海外】22(2024.3),2974,5499,46.1,8880000
泥土加圧シールド、無ケーソンの両工法で大型土木工事に強み。麻生グループの傘下入り,土木45(0)、建築52(0)、他3(10)(2024.3),1089,1744,45.1,7940000
準大手ゼネコン。土木、大型建築展開。インフラ運営も積極的。２１年１０月、共同持株会社体制に,建築36(3)、土木22(14)、舗装34(5)、製造5(4)、インフラ運営2(21)、他1(32)(2021.3),3312,7094,43.2,9270000
群馬、埼玉が地盤の中堅建設会社。建築軸に土木工事、合材販売。創業者一族から国会議員輩出,建築70(5)、土木28(11)、兼業2(14)(2024.3),378,462,46.1,6400000
医療、物流など多彩な民間建築が主体の中堅ゼネコン。東南アジアでの高層住宅、工場等に実績,建設99(2)、不動産1(46)、他0(24)【海外】21(2024.3),795,1362,46.1,7310000
化学プラントを主体とする中堅総合プラント工事会社。関東、中部が地盤。タイで表面処理事業,設備工事97(7)、表面処理2(-5)、他0(-13)(2024.3),802,1061,40.9,6530000
中堅ゼネコン。免震技術やトンネル施工技術に定評。石狩バイオエナジーなどバイオマス発電も,土木36(9)、建築57(1)、投資開発5(18)、他2(8)(2024.3),2481,2566,42.4,9450000
大和ハウス工業傘下の建設会社。鉄道関連工事も得意。大和ハウスによるＴＯＢで上場廃止へ,【単独事業】建築72(2)、土木21(2)、不動産7(33)(2015.3),792,---,43.9,7770000
線路の維持補修など鉄道工事に強いゼネコン。ＪＲ東関連が大半。ＤＯＥ３％以上で累進配当,土木62(7)、建築32(10)、他6(14)(2024.3),1702,1899,41.2,8600000
北海道地盤の注文住宅会社。在来工法首位。道内売上７割。気密、断熱に優れた住宅を開発,住宅63(1)、リフォーム12(1)、不動産23(3)、賃貸1(25)(2023.10),22,759,44.3,4540000
建築で創業し現在は不動産事業（賃貸・宅地販売）との２本柱。金属製品加工やホテル事業も,建築58(4)、不動産32(19)、金属製品5(9)、ホテル5(-5)(2024.3),143,154,46.3,6210000
下水道・地中工事が主力の土木会社。東京都が地盤。不動産を兼業。路面開削のＯＬＹ工法拡充,建設73(9)、不動産11(11)、ＯＬＹ9(17)、通信関連7(13)(2024.7),86,136,37.5,7080000
日立、水戸など茨城地盤の総合建設。子会社で居宅介護展開。ＭＢＯ成立し３月２０日上場廃止,建設95(7)、不動産3(35)、介護1(-8)、太陽光発電2(37)(2017.3),190,228,48.0,6630000
商業施設の新築・内改装が主力の建築中堅。首都圏、関西地盤に全国展開。筆頭株主はマルハン,【単独事業】建設97(5)、不動産3(20)(2024.3),656,691,43.8,7950000
ＰＣ工法大手で橋梁など土木工事が主力。官公庁向けが大半。九州から全国化、枕木分野を強化,土木75(13)、建築24(11)、不動産賃貸1(61)、他0(0)(2024.3),443,498,44.0,6310000
近畿地盤の南海建設と、首都圏地盤の辰村組が統合して誕生した南海電鉄グループの中堅建設,建設96(3)、不動産4(19)(2024.3),448,498,46.2,6760000
１８９２年創業の関西系中堅ゼネコン。学校や官公庁建築に実績を持つ。関西を地盤に全国展開,建築84(8)、土木13(13)、他2(23)(2024.3),1282,1808,44.5,8060000
土木からマンション建築主体に。旭化成ホームズが筆頭株主。長谷工コーポとの協力関係続く,【単独事業】建設98(8)、不動産0(34)、砕石2(11)(2024.3),325,---,44.2,7350000
準大手ゼネコン。病院、学校に強い建築の名門。堅実経営。浮体式風力発電の技術開発に注力,建築55(2)、土木22(6)、国内投資開発4(17)、国内グループ10(4)、海外グループ9(3)、環境・エネルギー0(-32)(2024.3),4420,6844,44.1,8410000
準大手ゼネコン。トンネル等大型土木からマンションなど建築に展開。住友林業が筆頭株主,土木23(4)、建築51(1)、子会社26(5)(2024.3),2774,4602,44.1,8480000
高松コンストラクＧ傘下。みらい建設等海上土木に強み。不動産事業に進出。親会社がＴＯＢ,建築28(5)、土木70(6)、不動産1(5)(2019.3),932,1906,45.7,7890000
長野地盤、民間建築主力。首都圏の比重は約５割。子会社通じホテル、ゴルフ場などに多角化,建設96(5)、ゴルフ場0(6)、ホテル3(15)、広告代理店1(5)(2024.3),718,1094,44.2,7750000
新潟県地盤の中堅建設。東京、中部、東北など県外拡大に意欲。子会社で有料老ホーム等進出,建設88(4)、不動産6(10)、建材製造販売1(20)、他5(6)(2024.3),607,1007,44.7,6360000
三井不動産系住宅メーカーで２×４工法の先駆。設計、デザイン強い。三井不が９月までＴＯＢ,新築65(3)、リフォーム・リニューアル17(5)、賃貸管理10(7)、住宅関連部資材販売8(3)(2018.3),2105,3783,40.0,6460000
名古屋地区の大手、名鉄と密接。民間建築中心に展開。分譲マンションなど不動産兼業にも強み,建築55(2)、土木26(16)、不動産19(34)(2024.3),993,1409,42.4,8080000
建築・土木を総合展開。ＰＣ（プレストレストコンクリート）橋梁首位級。大成建設の子会社,土木61(16)、建築37(10)、製造1(8)、他1(43)(2024.3),1168,1728,44.6,8920000
在来型注文住宅大手。岩手から全国展開。子会社で木材加工、ホテルを拡大、マンション育成,住宅86(-5)、ホテル14(-20)、他0(76)(2024.4),826,1000,40.3,5290000
連続埋め立て工法などの海上土木会社。青木あすなろ建設の完全子会社化で７月２９日上場廃止,【単独事業】建設69(0)、海運31(19)(2013.3),86,---,47.5,6330000
賃貸住宅の建築請負から一括借り上げで圧倒的な存在感。賃貸仲介も首位。配当性向５割メド,建設28(6)、不動産65(7)、金融1(21)、他6(15)(2024.3),8279,18682,44.1,8370000
建設と不動産開発（分譲マンション）が両輪。営業は首都圏中心、建設は非住宅工事の受注を深耕,建設53(6)、開発等47(23)(2024.3),519,659,38.0,8090000
道路舗装最大手。親会社ＥＮＥＯＳＨＤとゴールドマンサックスが当社株をＴＯＢ、上場廃止へ,舗装土木48(13)、一般土木17(10)、建築17(3)、製造・販売13(12)、開発4(10)、他1(5)(2021.3),2041,6505,43.7,8240000
独立系道路舗装大手。アスファルト乳剤で最大手。環境事業、道路資材商社事業も手がける,建設60(5)、製造販売・環境等40(9)(2024.3),1070,1742,44.9,8030000
道路舗装大手。前田建設の子会社。民間小型工事が安定収益源。２１年１０月、共同持株会社体制に,建設68(8)、製造・販売31(13)、他0(13)(2021.3),2246,2611,40.8,8060000
清水建設子会社の道路舗装大手。社長は歴代生え抜き。自治体含め官庁工事で実績。民間も育成,建設82(7)、製造・販売14(8)、賃貸3(8)、他1(23)(2024.3),1622,2312,41.4,8250000
旧浅野系。海上土木が本業で、ＯＤＡはじめ海外展開にも意欲的。陸上土木や建築にも実績,国内土木48(10)、国内建築30(5)、海外17(3)、他5(11)【海外】17(2024.3),1780,2040,45.0,9000000
重機土工事得意。東日本復旧復興に実績。会社更生手続き０３年終結。再上場。超高層建築に参入,土木30(-16)、建築65(-4)、関連5(29)【海外】7(2024.5),830,1048,40.4,7510000
海上土木の中堅。陸上土木にも展開。官公庁向け工事が多いが、民間設備工事や海外事業も強化,建設99(9)、不動産0(41)、他1(6)(2024.3),791,---,44.7,8810000
